# SN2012fr magnitudes from Swift UVOT                                                      
# generated Tue Apr 9 08:03:30 CDT 2013 using Swift_Rel3.8(Bld27)_07Apr2011                                            
# using the method detailed in Brown et al. (2009)                           
#
# Reference: Pending (
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the S/N) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.           
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, in preparation
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
# The underlying galaxy had the following count rates                                     
# in a 5 arcsec aperture at the source position  
# (missing filters have a template rate of zero but a background region similar to the SN ):
# Galaxy count rates in 5" aperture
# V         2.144  0.166
# B         3.210  0.380
# U         1.400  0.054
# UVW1      0.420  0.180
# UVM2      0.196  0.023
# UVW2      0.318  0.045
# Beware of galaxy count rates > ~ 6
#                                                                                         
# There are no known issues with this photometry.                                         
#                                                                                         
# MJD Mag MagErr 3SigMagLimit Rate RateErr                                       
#                                                                                         
# uvw2                                                                                    
56228.8177 19.264  0.201 19.901   0.176  0.033
56231.4932 16.798  0.055 18.850   1.709  0.086
56233.4294 15.909  0.044 18.201   3.877  0.157
56233.8000 15.738  0.047 17.959   4.537  0.196
56234.3430 15.640  0.043 17.941   4.965  0.199
56235.2444 15.451  0.042 17.782   5.908  0.230
56235.6692 15.349  0.038 17.788   6.493  0.229
56237.2325 15.143  0.040 17.530   7.848  0.290
56238.6833 15.055  0.036 17.546   8.512  0.286
56239.0994 14.959  0.050 17.114   9.302  0.426
56239.1493 15.068  0.042 17.396   8.414  0.329
56241.1408 14.923  0.044 17.215   9.609  0.388
56241.6399 14.957  0.037 17.420   9.314  0.321
56242.6304 15.025  0.040 17.428   8.748  0.319
56243.6809 15.012  0.041 17.374   8.852  0.335
56244.3985 15.004  0.036 17.506   8.922  0.297
56247.5605 15.097  0.042 17.430   8.188  0.318
56249.6315 15.216  0.043 17.537   7.335  0.289
56251.1971 15.374  0.045 17.638   6.344  0.263
56253.4983 15.556  0.047 17.762   5.368  0.234
56255.9128 15.814  0.051 17.933   4.230  0.200
56257.3820 16.051  0.055 18.100   3.399  0.172
56259.7091 16.296  0.064 18.180   2.713  0.160
56261.8580 16.597  0.068 18.407   2.057  0.129
56263.6485 16.744  0.080 18.381   1.796  0.133
56265.7951 16.854  0.080 18.490   1.624  0.120
56267.7277 17.191  0.096 18.627   1.191  0.106
56269.5922 17.093  0.093 18.563   1.303  0.112
56275.1373 17.429  0.105 18.768   0.956  0.093
56279.6828 17.624  0.113 18.891   0.799  0.083
56283.0494 17.945  0.128 19.071   0.595  0.070
56285.7260 17.983  0.109 19.282   0.574  0.058
56287.4606 18.028  0.123 19.196   0.551  0.063
56291.1721 18.091  0.131 19.192   0.520  0.063
56295.5158 18.212  0.137 19.269   0.465  0.059
56299.7223 18.433  0.151 19.381   0.379  0.053
56303.4630 18.290  0.145 19.285   0.432  0.058
56314.1850 18.547  0.142 19.565   0.341  0.045
56315.5575 18.505  0.144 19.507   0.355  0.047
56320.5222 18.770  0.164 19.627   0.278  0.042
56326.2611 18.865  0.170 19.688   0.255  0.040
56332.3546 18.837  0.177 19.615   0.261  0.043
56338.5617 18.918  0.179 19.685   0.243  0.040
56344.0759 19.170  0.198 19.823   0.192  0.035
56350.2425 19.549  0.258 19.918   0.136  0.032
56356.3241 19.141  0.193 19.826   0.198  0.035
56362.0647 19.514  0.256 19.891   0.140  0.033
#                                                                                         
# uvm2                                                                                   
56228.8277   NULL   NULL 19.598   0.010  0.010
56231.5002 18.855  0.122 20.037   0.158  0.018
56233.4359 17.711  0.101 19.097   0.452  0.042
56234.6296 17.301  0.116 18.540   0.660  0.070
56235.1798 16.898  0.067 18.730   0.957  0.059
56237.3009 16.516  0.052 18.623   1.361  0.065
56238.6657 16.295  0.052 18.394   1.667  0.080
56239.1003 16.251  0.091 17.748   1.737  0.146
56241.1437 16.080  0.066 17.920   2.033  0.124
56242.6122 15.866  0.058 17.848   2.474  0.133
56243.6858 15.928  0.053 18.003   2.338  0.115
56247.5651 15.867  0.053 17.953   2.474  0.121
56249.6365 15.925  0.053 18.007   2.344  0.115
56251.1996 15.993  0.054 18.063   2.202  0.109
56253.5031 16.202  0.058 18.186   1.816  0.097
56255.9176 16.528  0.066 18.370   1.345  0.082
56257.3870 16.691  0.071 18.462   1.158  0.076
56259.7132 16.932  0.085 18.503   0.927  0.073
56261.8632 17.202  0.090 18.718   0.723  0.060
56263.6523 17.332  0.110 18.626   0.642  0.065
56265.7997 17.520  0.109 18.819   0.539  0.054
56267.7323 17.667  0.116 18.903   0.471  0.050
56269.5964 17.722  0.123 18.897   0.448  0.051
56275.1425 17.986  0.128 19.112   0.351  0.041
56279.6895 18.397  0.140 19.429   0.241  0.031
56283.0523 18.422  0.150 19.380   0.235  0.032
56287.4647 18.476  0.137 19.530   0.224  0.028
56291.1790 18.538  0.150 19.494   0.211  0.029
56295.5225 18.649  0.165 19.505   0.191  0.029
56299.7295 18.770  0.166 19.618   0.171  0.026
56303.4666 19.067  0.201 19.708   0.130  0.024
56314.1907 19.131  0.177 19.906   0.122  0.020
56315.5645 19.047  0.244 19.475   0.132  0.030
56320.5270 19.605  0.261 19.961   0.079  0.019
56326.2647 19.511  0.229 20.009   0.086  0.018
56332.3585 19.729  0.291 19.965   0.071  0.019
56338.5659 19.681  0.275 19.981   0.074  0.019
56344.0808   NULL   NULL 20.129   0.048  0.016
56350.2456 19.882  0.311 20.046   0.061  0.018
56356.3293 19.890  0.285 20.150   0.061  0.016
56362.0697   NULL   NULL 19.428   0.028  0.015
#                                                                                         
