name,type,redshift,right ascension,declination,TNSprefix
SN2013cj,IIn,,256.22063,12.91956,SN
SN2013cj,IIn,,256.22063,12.91956,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2016iyz,II,0.0104,88.155958,-17.78715,SN
SN2016iyd,II,0.034,114.29065,-52.31783,SN
SN2016iyd,II,0.034,114.29065,-52.31783,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2015bn,SLSN-I,0.11,173.423125,0.725972,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2016ipf,Ia,0.021,121.80464649,5.68327026538,SN
SN2016ija,II,0.003468,63.031667,-32.852911,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016hzg,II,0.019,16.154667,-2.542319,SN
SN2016hnk,Ia,0.016,33.319312,-7.661332,SN
SN2016hnk,Ia,0.016,33.319312,-7.661332,SN
SN2016hgm,II,0.008,20.5492197344,0.95205540894,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016hgm,II,0.008,20.5492197344,0.95205540894,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gsb,Ia,0.0097,91.1175,-20.3401,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016grk,II,0.018,319.922,21.965631,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gfy,II,0.008,111.691375,85.764211,SN
SN2016gfr,Ia,0.014,274.898208,23.785889,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gfr,Ia,0.014,274.898208,23.785889,SN
SN2016gfy,II,0.008,111.691375,85.764211,SN
SN2016gdw,II,0.065,336.771335,23.279324,SN
SN2016frp,Ib-pec,0.027,5.385583,-5.956747,SN
SN2016ffh,Ia,0.018,227.956083,46.250931,SN
SN2016els,SLSN-I,0.217,307.558019897,-10.9505021327,SN
SN2016ekg,Ia,0.017,330.015333,-30.184261,SN
SN2016ekg,Ia,0.017,330.015333,-30.184261,SN
