name,type,redshift,OtherName,right ascension,declination
SN2009jh,SLSN-I,0.35,PTF09cwl,14 49 10.1085,+29 25 11.6792
SN2009dr,SNIc,0.077,PTF09dh,14 44 42.0726,+49 43 45.1304
PTF10aagc,SLSN-I,0.206, ,09 39 56.9317,+21 43 16.8355
SN2010jl,SNIIn,0.01062,PTF10aaxf,09 42 53.3198,+09 29 42.3978
SN2010kp,SNII,0.0142,PTF10abpr,04 03 38.6719,+70 45 16.1183
PTF10abyy,SNII,0.0304, ,05 16 40.5337,+06 47 53.7432
SN2010ah,SNIc-BL,0.049,PTF10bzf,11 44 03.0313,+55 41 27.4805
SN2010gx,SLSN-I,0.2297,PTF10cwr,11 25 46.711,-08 49 41.7641
PTF10gva,SNII,0.02751, ,12 23 55.4056,+10 34 50.3803
SN2010md,SLSN-IIb,0.0986,PTF10hgi,16 37 47.0546,+06 12 31.8442
SN2010mb,SNIc-BL,0.1319,PTF10iue,16 00 23.0777,+37 44 56.8554
SN2010ib,SNII,0.01875,PTF10qob,01 25 47.549,-01 22 30.7574
PTF10qts,SNIc-BL,0.0912, ,16 41 37.6049,+28 58 21.171
SN2010hm,SNII,0.020541,PTF10qwz,23 35 18.6024,+12 55 31.6276
SN2010mc,SNIIn,0.035,PTF10tel,17 21 30.7219,+48 07 47.1695
PTF10vdl,SNII,0.016475, ,23 05 48.9667,+03 31 20.5511
PTF10xfh,SNIb,0.017399, ,01 55 58.183,+37 07 59.7011
PTF10xlr,SNII,0.01535, ,23 09 22.7339,+01 00 03.1198
SN2011ke,SLSN-I,0.143,PTF11dij,13 50 57.7689,+26 16 42.7508
PTF11dsf,SLSN-IIn,0.385, ,16 11 33.5323,+40 18 03.7109
SN2011dt,SNII,0.02852,PTF11emo,14 24 36.1457,+35 16 38.4971
SN2011dh,SNIIb,0.001544,PTF11eon,13 30 05.1048,+47 10 10.9949
PTF11iqb,SNII,0.01245, ,00 34 04.8503,-09 42 17.8751
PTF11qax,SNII,0.02187, ,23 42 25.5711,+00 15 17.0975
PTF11qcj,SNIc-BL,0.028, ,13 13 41.4895,+47 17 56.9134
PTF11qiq,SNIb,0.0316, ,02 46 53.8227,+38 56 47.1426
PTF11qnf,SNIIn,0.014283, ,05 44 54.2884,+69 09 06.5596
