SNname,HostName,PSN,type,redshift,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,UVM2_DatPoints,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2013cj,,,IIn,,,,,['256.220416667'],['12.9195555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2013cj,,,IIn,,,,,['256.220416667'],['12.9195555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2014ey,,,Iax,0.03197,,,,['226.124875'],['2.3309166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2014ey,,,Iax,0.03197,,,,['226.124875'],['2.3309166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2014ey,,,Iax,0.03197,,,,['226.124875'],['2.3309166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2014ey,,,Iax,0.03197,,,,['226.124875'],['2.3309166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016iyz,,,II,0.0104,,,,['88.155958333333'],['-17.78695'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016iyd,,,II,0.034,,,,['114.29066666667'],['-52.317805555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016iyd,,,II,0.034,,,,['114.29067'],['-52.31783'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016itd,,,Ia,0.0175,,,,['214.698917'],['24.940839'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2015bn,,,SLSN-I,0.11,,,,['173.423125'],['0.72594444444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016itd,,,Ia,0.0175,,,,['214.69891666667'],['24.940838888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016itd,,,Ia,0.0175,,,,['214.698917'],['24.940839'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ipf,,,Ia,0.021,,,,['121.80479166667'],['5.6832472222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ija,,,II,0.003468,,,,['63.03175'],['-32.853036'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gxp,,,Ia,0.0186,,,,['3.6440609'],['48.25225'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016hzg,,,II,0.019,,,,['16.154666666667'],['-2.5423611111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016hnk,,,Ia,0.016,,,,['33.319291666667'],['-7.6613055555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016hnk,,,Ia,0.016,,,,['33.319312'],['-7.661332'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016hgm,,,II,0.008,,,,['20.548875'],['0.95216111111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
